Model,MAE,MSE,RMSE,R2
Linear Regression,171415.35200576714,68543427040.499146,261807.99651748445,0.6800846734741521
Decision Tree Regressor,185740.7884560759,94615885128.42284,307596.95240431564,0.5583957048499062
Random Forest Regressor,167944.36434271367,66228106915.91563,257348.2211244438,0.6908910545620186
